"Grad.Month","Grad.Year","My..Conn","Job.Title","Current.City","Current.State","Home.Country","Gender","Major1","Major2","Major3","Minor1","Minor2","Minor3","Certificate1","Certificate2","Certificate3"
"May",2016,1,"Senior Software Developer","West Des Moines","IA","UNITED STATES","Male","Information Systems",NA,NA,"Economics","Computer Science",NA,NA,NA,NA
"Dec",2016,1,"Pricing Assistant","West Des Moines","IA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Technology Risk Senior","Des Moines","IA","UNITED STATES","Male","Accounting","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Senior Marketing Analyst","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"SRE Program Manager","Mountain View","CA","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Senior Change Implementation Analyst","Kansas City","MO","UNITED STATES","Male","Business Analytics",NA,NA,"Leisure Studies",NA,NA,NA,NA,NA
"Dec",2016,1,"Self Employed","Des Moines","IA","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,"Senior Tax Analyst","Houston","TX","UNITED STATES","Male","Information Systems","Accounting",NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,"Partner Development","Austin","TX","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Senior Associate - Cybersecurity & Privacy Solutions","Minneapolis","MN","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,"M.S. Predictive Analytics","Chicago","IL","CHINA","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Founder","Chicago","IL","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Data Analyst","Washington D.C.","Washington D.C.","CHINA","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Big Data Software Developer","Richardson","TX","UNITED STATES","Male","Business Analytics",NA,NA,"Psychology",NA,NA,NA,NA,NA
"May",2016,1,"Data Engineer","Des Moines","IA","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Brand Licensing Manager","Beijing","China","UNITED STATES","Male","Business Analytics",NA,NA,"Asian Languages and Literature (Japanese)",NA,NA,"International Business",NA,NA
"May",2016,1,"Accountant","Houston","TX","UNITED STATES","Female","Accounting","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Data Analyst","Beijing","China","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Premium Payment & Discrepancy Specialist III (Accountant/Auditor)","West Des Moines","IA","UNITED STATES","Male","Accounting","Information Systems",NA,NA,NA,NA,NA,NA,NA
"Aug",2016,1,"Analyst - Sales Talent Acquisition","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Data Analyst - Applied Analytics & Research Team","Dunwoody","GA","UNITED STATES","Male","Business Analytics",NA,NA,"Mathematics",NA,NA,NA,NA,NA
"May",2016,1,"Data Analyst","Le Grange","IL","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,"Leadership Studies",NA,NA
"May",2016,1,"Product Owner, Data Science & Analytics","Grimes","IA","UNITED STATES","Male","Business Analytics","Marketing",NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,"Business Development Manager","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,"MTS Consultant","Chicago","IL","UNITED STATES","Male","Business Analytics","Accounting",NA,NA,NA,NA,NA,NA,NA
"Aug",2016,1,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Production Support Engineer","Seattle","WA","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Senior Associate, Technology and Management","Cedar Rapids","IA","UNITED STATES","Female","Management (Leadership and Management)","Information Systems",NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,"Staff Consultant","Austin","TX","UNITED STATES","Male","Marketing","Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Risk Assurance Associate","Des Moines","IA","UNITED STATES","Male","Accounting","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,NA,NA,NA,"CHINA","Female","Finance","Information Systems",NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,"Information Systems Auditor - IT Development Program","Moline","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Data Analyst","Shanghai","China","UNITED STATES","Female","Marketing","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Solutions Architect","Milwaukee","WI","UNITED STATES","Female","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Systems Engineer","Chicago","IL","UNITED STATES","Male","Information Systems",NA,NA,"Computer Science",NA,NA,NA,NA,NA
"Dec",2016,1,"Senior Consultant","Chicago","IL","UNITED STATES","Male","Marketing","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,NA,NA,NA,"CHINA","Female","Business Analytics","Mathematics (Program C)",NA,"Computer Science","Asian Languages and Literature (Japanese)",NA,NA,NA,NA
"May",2016,1,"Product Owner - Technical Enablement & Automation","Atlanta","GA","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,NA,NA,NA,"UNITED STATES","Female","Business Analytics","Finance",NA,NA,NA,NA,"Risk Management and Insurance",NA,NA
"May",2016,1,"Intermediate Risk Analyst",NA,NA,"UNITED STATES","Female","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,NA,NA,NA,"UNITED STATES","Female","Marketing","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Recruitment Consultant","Guangdong","China","UNITED STATES","Female","Accounting","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,NA,NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,"Computer Science",NA,NA,NA,NA,NA
"May",2016,1,"M.S. Information Technolgy","Los Angeles","CA","UNITED STATES","Female","Marketing","Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"HRIS Reporting and Data Analyst","Utica","NY","CHINA","Male","Accounting","Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"HR Specialist","Shanghai","China","CHINA","Female","Business Analytics","Management (Human Resource Management)",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Staff Accountant","Irvine","CA","UNITED STATES","Female","Accounting","Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"M.S. Business Analytics","Dallas","TX","CHINA","Female","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"Aug",2016,1,"Ecommerce Specialist","Atlanta","GA","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Information Security Analyst","Shanghai","China","UNITED STATES","Female","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Dec",2016,1,"Production Lead","Coralville","IA","UNITED STATES","Male","Management (Entrepreneurial Management)","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Student Consultant (Graduate Capstone Project)","Tempe","AZ","CHINA","Male","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Performance Specialist","Des Moines","IA","UNITED STATES","Male","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,NA,NA,NA,"UNITED STATES","Female","Accounting","Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2016,1,"Analyst","Shanghai","China","UNITED STATES","Female","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Aug",2016,1,"Financial Analyst","Denver","CO","UNITED STATES","Female","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,3,"Data Analyst","Shanghai","China","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,"Risk Management and Insurance",NA,NA
"May",2016,3,"Systems Engineer",NA,NA,"UNITED STATES","Female","Information Systems","Finance",NA,"Informatics",NA,NA,NA,NA,NA
"Dec",2016,3,"Business Analyst",NA,NA,"CHINA","Female","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2016,3,"Data Analyst","Beijing","China","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2016,3,NA,NA,NA,"UNITED STATES","Female","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2016,3,NA,NA,NA,"UNITED STATES","Female","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Aug",2016,3,NA,NA,NA,"UNITED STATES","Female","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Aug",2016,3,NA,NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2016,3,NA,NA,NA,"CHINA","Male","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2016,3,NA,NA,NA,"UNITED STATES","Female","Business Analytics","Accounting",NA,NA,NA,NA,NA,NA,NA
"May",2016,3,NA,NA,NA,"CHINA","Female","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Aug",2017,0,NA,NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,"Computer Science",NA,NA,NA,NA,NA
"Dec",2017,0,NA,NA,NA,"SOUTH KOREA","Male","Information Systems","Finance",NA,NA,NA,NA,NA,NA,NA
"Dec",2017,0,NA,NA,NA,"SOUTH KOREA","Male","Information Systems",NA,NA,"Psychology",NA,NA,NA,NA,NA
"May",2017,0,NA,NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,"Music",NA,NA,NA,NA,NA
"May",2017,0,NA,NA,NA,"UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,0,NA,NA,NA,"CHINA","Female","Business Analytics","Management (Human Resource Management)",NA,NA,NA,NA,NA,NA,NA
"May",2017,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2017,0,NA,NA,NA,"CHINA","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,0,NA,NA,NA,"UNITED STATES","Female","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,0,NA,NA,NA,"CHINA","Female","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Dec",2017,0,NA,NA,NA,"CHINA","Male","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Dec",2017,0,NA,NA,NA,"CHINA","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2017,0,NA,NA,NA,NA,NA,"Accounting","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Dec",2017,0,NA,NA,NA,"CHINA","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,0,NA,NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Senior Actuarial Consultant","New York","NY","CHINA","Male","Accounting","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Trade Planning Lead","Fayetteville","AK","UNITED STATES","Male","Business Analytics",NA,NA,"Spanish",NA,NA,NA,NA,NA
"May",2017,1,"Audit Staff","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Aug",2017,1,NA,"Los Angeles","CA","UNITED STATES","Female","Business Analytics","Psychology",NA,NA,NA,NA,NA,NA,NA
"Aug",2017,1,"Associate Consultant","Shenzhen","China","UNITED STATES","Female","Business Analytics",NA,NA,"Computer Science",NA,NA,NA,NA,NA
"May",2017,1,"Business Intelligence Specialist",NA,NA,"CHINA","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2017,1,"Experienced Consultant","Chicago","IL","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,"Writing",NA,NA
"May",2017,1,"Senior Associate Consultant","Chicago","IL","UNITED STATES","Female","Business Analytics","Marketing",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"RPA Architect","Nashville","TN","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2017,1,"Business Analyst II","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,"Entrepreneurial Management",NA,NA
"May",2017,1,"Business Analyst","Chicago","IL","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Analytics Consultant","Des Moines","IA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Insights/BI Developer","Pittsburgh","PA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Aug",2017,1,"IT Technician","Clive","IA","UNITED STATES","Female","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"NOC Technician Tier I - Colo","Cedar Rapids","IA","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"Aug",2017,1,"Data Analyst","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Implementation Consultant","Springfield","IL","UNITED STATES","Female","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Data Engineer II","Des Moines","IA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Audit Senior","Chicago","IL","UNITED STATES","Male","Business Analytics","Accounting",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Associate Data Scientist | Advanced Analytics","Chicago","IL","UNITED STATES","Male","Finance","Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Business Intelligence Developer","West Des Moines","IA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Aug",2017,1,"Application Developer","Cedar Rapids","IA","UNITED STATES","Female","Information Systems",NA,NA,"Business Administration",NA,NA,NA,NA,NA
"May",2017,1,"District Manager","Iowa City","IA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2017,1,"Administrative Services Coordinator","Iowa City","IA","UNITED STATES","Male","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Computer Technician","North Liberty","IA","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"Aug",2017,1,NA,NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Operations Analyst","Boston","MA","UNITED STATES","Female","Business Analytics","Marketing",NA,"Spanish",NA,NA,NA,NA,NA
"Dec",2017,1,"PP&C Analyst","Iowa City","IA","UNITED STATES","Male","Business Analytics","Economics",NA,NA,NA,NA,NA,NA,NA
"Dec",2017,1,"IT Business Analyst","Muscatine","IA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Lan Administrator Assistant","Dubuque","IA","UNITED STATES","Female","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2017,1,"Ecommerce Data Consultant","Chicago","IL","UNITED STATES","Male","Business Analytics","Management (Leadership and Management)",NA,NA,NA,NA,"Entrepreneurial Management",NA,NA
"Dec",2017,1,"Student pilot","Beijing","China","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2017,1,NA,NA,NA,"UNITED STATES","Female","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Dec",2017,1,"Incoming International Tax Associate","New York","NY","CHINA","Female","Business Analytics","Accounting",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"M.S. Applied Analytics","Calabasas","CA","CHINA","Female","Finance","Business Analytics",NA,"Mathematics",NA,NA,NA,NA,NA
"Dec",2017,1,"Investment Banking Analyst","New York","NY","UNITED STATES","Male","Finance","Business Analytics",NA,"Political Science",NA,NA,"Risk Management and Insurance",NA,NA
"May",2017,1,"Senior Technical Solutions Analyst","Kansas City","MO","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Researcher","Chicago","IL","UNITED STATES","Male","Business Analytics","Accounting",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Senior Solution Design Analyst","Kansas City","MO","UNITED STATES","Female","Business Analytics",NA,NA,"Spanish",NA,NA,NA,NA,NA
"Dec",2017,1,"Financial Analyst - Sales Operations","Northbrook","IL","UNITED STATES","Male","Business Analytics",NA,NA,"Management (Entrepreneurial Management)",NA,NA,NA,NA,NA
"May",2017,1,"Health Data Analyst","Kansas City","MO","UNITED STATES","Male","Business Analytics","Marketing (Marketing Analytics)",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Advisory Senior - Financial Services","Minneapolis","MN","UNITED STATES","Male","Business Analytics",NA,NA,"Economics",NA,NA,NA,NA,NA
"May",2017,1,"Cash Control Supervisor","Gurnee","IL","UNITED STATES","Female","Business Analytics","Accounting",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Business Intelligence Senior Associate","Des Moines","IA","UNITED STATES","Female","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Commissions Analyst","Fairfield","IA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2017,1,"Business/Financial Analyst","Chicago","IL","UNITED STATES","Male","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2017,0,"Analytics Freelancer",NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Integration Specialist","Ankeny","IA","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"TMC Associate",NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"MSBA Candidate","Los Angeles","CA","UNITED STATES","Female","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Client Analyst","Chicago","IL","UNITED STATES","Female","Finance","Business Analytics",NA,NA,NA,NA,"Risk Management and Insurance",NA,NA
"May",2017,1,"Data Scientist","Chicago","IL","UNITED STATES","Female","Finance","Information Systems",NA,"Mathematics",NA,NA,NA,NA,NA
"Dec",2017,1,NA,NA,NA,"INDONESIA","Female","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"ETL Developer","Chicago","IL","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Data Analyst","Des Moines","IA","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Tax Associate","Des Moines","IA","UNITED STATES","Male","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Tax","Des Moines","IA","UNITED STATES","Male","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Software Engineer","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"M.S. Applied Finance","Woodland Hills","CA","CHINA","Female","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Investment Banking Analyst","Chicago","IL","UNITED STATES","Male","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Account Manager","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2017,1,"Business & Technology Solutions Associate","Chicago","IL","UNITED STATES","Male","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"Dec",2017,1,"Manager of Marketing Automation Systems & Operations","Coralville","IA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Business Analyst","Chicago","IL","UNITED STATES","Female","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Technical Solution Analyst","Kansas City","MO","UNITED STATES","Female","Business Analytics",NA,NA,"American Sign Language",NA,NA,NA,NA,NA
"May",2017,1,"Programmer and Research Assistant","Philadephia","PA","CHINA","Female","Finance","Mathematics (Program C)","Business Analytics",NA,NA,NA,NA,NA,NA
"May",2017,1,NA,NA,NA,"CHINA","Female","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Dec",2017,1,"Senior Analyst","Minneapolis","MN","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2017,1,NA,NA,NA,"SOUTH KOREA","Female","Business Analytics",NA,NA,NA,NA,NA,"Entrepreneurial Management",NA,NA
"May",2017,1,"M.S.","Boston","MA","UNITED STATES","Female","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Assistant Vice President IT Quality Sr Analyst","Tampa","FL","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2017,1,"MSM-Operations Research & Supply Chain Management","Allston","MA","CHINA","Female","Business Analytics",NA,NA,"Statistics",NA,NA,NA,NA,NA
"May",2017,1,"Fulfillment Expert","Seattle","WA","UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"ISOM Candidate","Gainesville","FL","CHINA","Male","Information Systems",NA,NA,"Computer Science",NA,NA,NA,NA,NA
"May",2017,1,"M.S. Business Analytics",NA,NA,"CHINA","Male","Finance","Information Systems",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Data Administration Analyst","Schiller Park","IL","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Trading Analyst","New York","NY","UNITED STATES","Male","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Staff Accountant","Irvine","CA","UNITED STATES","Female","Business Analytics","Accounting",NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"Graduate Research Assistant","Iowa City","IA","CHINA","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,1,"M.S. Healthcare Decision Analytics","Los Angeles","CA","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2017,1,NA,NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,3,"Data Analyst",NA,NA,"UNITED STATES","Male","Economics (Business)","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2017,3,"Application Developer","Des Moines","IA","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,3,"Data Analytics and Reporting Analyst","Beachwood","OH","UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,"International Business",NA,NA
"May",2017,3,"Senior Tax Associate","Chicago","IL","UNITED STATES","Female","Business Analytics","Accounting",NA,NA,NA,NA,NA,NA,NA
"May",2017,3,"Advanced Risk and Compliance Analytics Solutions Associate ","Chicago","IL","UNITED STATES","Male","Business Analytics","Economics (Business)",NA,NA,NA,NA,NA,NA,NA
"Dec",2017,3,NA,NA,NA,"UNITED STATES","Male","Finance","Business Analytics",NA,"Rhetoric and Persuasion",NA,NA,NA,NA,NA
"May",2017,3,NA,NA,NA,"UNITED STATES","Female","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2017,3,"Assurance Associate","Shanghai","China","CHINA","Female","Business Analytics",NA,NA,"Korean Studies",NA,NA,NA,NA,NA
"May",2017,3,NA,NA,NA,"SOUTH KOREA","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,3,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,3,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,3,"Financial Lines Underwriter","Chicago","IL","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2017,3,"Commercial Analyst","Naperville","IL","UNITED STATES","Male","Finance","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2017,3,NA,NA,NA,"UNITED STATES","Male","Information Systems","Environmental Sciences",NA,NA,NA,NA,NA,NA,NA
"May",2018,0,NA,NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2018,0,NA,NA,NA,"CHINA","Male","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"Dec",2018,0,NA,NA,NA,"CHINA","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2018,0,NA,NA,NA,"CHINA","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2018,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2018,0,NA,NA,NA,"CHINA","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2018,0,NA,NA,NA,"CHINA","Female","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2018,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"Dec",2018,0,NA,NA,NA,"CHINA","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2018,0,NA,NA,NA,"UNITED STATES","Male","Accounting","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2018,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2018,0,NA,NA,NA,"CHINA","Female","Business Analytics","Finance",NA,NA,NA,NA,NA,NA,NA
"May",2018,0,NA,NA,NA,"UNITED STATES","Male","Art","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"May",2018,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics","Accounting",NA,NA,NA,NA,NA,NA,NA
"May",2018,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics","Accounting",NA,NA,NA,NA,NA,NA,NA
"May",2018,0,NA,NA,NA,"UNITED STATES","Female","Business Analytics",NA,NA,"Human Relations",NA,NA,NA,NA,NA
"May",2018,0,NA,NA,NA,"UNITED STATES","Male","Information Systems",NA,NA,NA,NA,NA,NA,NA,NA
"May",2018,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2018,0,NA,NA,NA,"UNITED STATES","Male","Business Analytics",NA,NA,"Sport and Recreation Management",NA,NA,NA,NA,NA
"May",2018,0,NA,NA,NA,"SOUTH KOREA","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2018,0,NA,NA,NA,"CHINA","Male","Accounting","Business Analytics",NA,NA,NA,NA,NA,NA,NA
"Dec",2018,1,"Data Analyst & Reporting Associate","Dallas","TX","CONGO, DEMOCRATIC REPUBLIC OF THE","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
"May",2018,1,"Business Analyst, Development Support","Dallas","TX","UNITED STATES","Male","Business Analytics",NA,NA,NA,NA,NA,NA,NA,NA
